#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.100898E-04   0.242517E+06   0.242517E+06   0.323355E+06   0.323355E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604576E+00   0.241404E+06   0.241404E+06   0.376650E+00
   0.111402E-04   0.242517E+06   0.242517E+06   0.323355E+06   0.323354E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604576E+00   0.241404E+06   0.241404E+06   0.415861E+00
   0.122999E-04   0.242517E+06   0.242517E+06   0.323354E+06   0.323354E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604576E+00   0.241404E+06   0.241404E+06   0.459155E+00
   0.135804E-04   0.242517E+06   0.242517E+06   0.323354E+06   0.323353E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604576E+00   0.241404E+06   0.241404E+06   0.506956E+00
   0.149942E-04   0.242517E+06   0.242517E+06   0.323353E+06   0.323353E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604576E+00   0.241404E+06   0.241404E+06   0.559733E+00
   0.165552E-04   0.242517E+06   0.242517E+06   0.323352E+06   0.323352E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604575E+00   0.241404E+06   0.241404E+06   0.618004E+00
   0.182787E-04   0.242517E+06   0.242517E+06   0.323352E+06   0.323351E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604575E+00   0.241404E+06   0.241404E+06   0.682342E+00
   0.201816E-04   0.242517E+06   0.242517E+06   0.323351E+06   0.323350E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604575E+00   0.241404E+06   0.241404E+06   0.753377E+00
   0.222827E-04   0.242517E+06   0.242517E+06   0.323349E+06   0.323348E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604575E+00   0.241404E+06   0.241404E+06   0.831808E+00
   0.246024E-04   0.242517E+06   0.242517E+06   0.323348E+06   0.323347E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604575E+00   0.241404E+06   0.241403E+06   0.918404E+00
   0.271637E-04   0.242517E+06   0.242517E+06   0.323346E+06   0.323345E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252169E+06   0.604574E+00   0.241403E+06   0.241403E+06   0.101401E+01
   0.299916E-04   0.242517E+06   0.242517E+06   0.323343E+06   0.323342E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252169E+06   0.604574E+00   0.241403E+06   0.241403E+06   0.111958E+01
   0.331139E-04   0.242517E+06   0.242517E+06   0.323341E+06   0.323339E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252169E+06   0.604573E+00   0.241403E+06   0.241403E+06   0.123613E+01
   0.365612E-04   0.242516E+06   0.242516E+06   0.323337E+06   0.323335E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252169E+06   0.604573E+00   0.241403E+06   0.241403E+06   0.136482E+01
   0.403675E-04   0.242516E+06   0.242516E+06   0.323333E+06   0.323330E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604572E+00   0.241403E+06   0.241403E+06   0.150690E+01
   0.445700E-04   0.242516E+06   0.242516E+06   0.323328E+06   0.323325E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604571E+00   0.241403E+06   0.241403E+06   0.166378E+01
   0.492100E-04   0.242516E+06   0.242516E+06   0.323322E+06   0.323318E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604570E+00   0.241402E+06   0.241402E+06   0.183699E+01
   0.543330E-04   0.242515E+06   0.242515E+06   0.323314E+06   0.323309E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252167E+06   0.604568E+00   0.241402E+06   0.241402E+06   0.202822E+01
