# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       1.008985923385e-05      -1.613019975265e-05      -1.209770112159e-05      -1.209770154117e-05      -1.209770153450e-05       0.000000000000e+00      -1.613019175871e-05      -1.221456646258e-05       6.123516376474e-01       5.967934084589e-01      -1.540989540189e-13      -1.317791586432e-16      -8.880694911089e-19                      nan      -1.639456993279e-13      -6.073154469392e-15 
       2.251775554930e-05      -8.033631588395e-05      -6.025350963540e-05      -6.025352004352e-05      -6.025351987814e-05       0.000000000000e+00      -8.033611758749e-05      -6.083553170941e-05       6.123503427007e-01       5.967925633354e-01      -3.822557782917e-12      -3.269118031100e-15      -2.203457791914e-17                      nan      -4.066809549330e-12      -1.506498042125e-13 
       3.498636120606e-05      -1.939301657628e-04      -1.454550412153e-04      -1.454551018707e-04      -1.454551009069e-04       0.000000000000e+00      -1.939290101980e-04      -1.468599246257e-04       6.123479679712e-01       5.967909779385e-01      -2.227609461685e-11      -1.905135349568e-14      -1.284118741589e-16                      nan      -2.369941079201e-11      -8.779161989858e-13 
       4.752690065129e-05      -3.578547193170e-04      -2.684162961406e-04      -2.684165026929e-04      -2.684164994110e-04       0.000000000000e+00      -3.578507844079e-04      -2.710084129521e-04       6.123445342509e-01       5.967886820583e-01      -7.585565190150e-11      -6.487567452335e-14      -4.372773109455e-16                      nan      -8.070205205253e-11      -2.989518134728e-12 
       6.017107953816e-05      -5.735575197303e-04      -4.302330267672e-04      -4.302335574220e-04      -4.302335489903e-04       0.000000000000e+00      -5.735474110345e-04      -4.343869915290e-04       6.123400262777e-01       5.967856684515e-01      -1.948780802817e-10      -1.666706829776e-13      -1.123458732147e-15                      nan      -2.073275203884e-10      -7.680245851658e-12 
       7.295134796828e-05      -8.430144977614e-04      -6.324010656872e-04      -6.324022122506e-04      -6.324021940327e-04       0.000000000000e+00      -8.429926583253e-04      -6.385054716849e-04       6.123343891988e-01       5.967819048229e-01      -4.210386623490e-10      -3.601182014144e-13      -2.427402091991e-15                      nan      -4.479328874890e-10      -1.659330668656e-11 
       8.590117159567e-05      -1.168763684891e-03      -8.768422699911e-04      -8.768444742704e-04      -8.768444392467e-04       0.000000000000e+00      -1.168721702991e-03      -8.853036537138e-04       6.123275693777e-01       5.967773517991e-01      -8.093885460232e-10      -6.923320248519e-13      -4.666650146302e-15                      nan      -8.610819643126e-10      -3.189823444636e-11 
       9.905531396721e-05      -1.553949650712e-03      -1.165938737302e-03      -1.165942634737e-03      -1.165942572809e-03       0.000000000000e+00      -1.553875430065e-03      -1.177185843277e-03       6.123195104646e-01       5.967719690335e-01      -1.430997603522e-09      -1.224118204642e-12      -8.251623937974e-15                      nan      -1.522376285879e-09      -5.639580062232e-11 
       1.124501335013e-04      -2.002379687369e-03      -1.502576110970e-03      -1.502582583919e-03      -1.502582481067e-03       0.000000000000e+00      -2.002256436052e-03      -1.517064535413e-03       6.123101250511e-01       5.967657001750e-01      -2.376453850527e-09      -2.033024750303e-12      -1.370456447646e-14                      nan      -2.528176462626e-09      -9.365591092141e-11 
       1.261238985365e-04      -2.518593220207e-03      -1.890197153913e-03      -1.890207397355e-03      -1.890207234588e-03       0.000000000000e+00      -2.518398204603e-03      -1.908414454470e-03       6.122993210948e-01       5.967584818258e-01      -3.760408280673e-09      -3.217226506028e-12      -2.168787241600e-14                      nan      -4.000433482491e-09      -1.481966603699e-10 
       1.401171238971e-04      -3.107946118740e-03      -2.332866934411e-03      -2.332882537994e-03      -2.332882290056e-03       0.000000000000e+00      -3.107649112580e-03      -2.355338303614e-03       6.122869793031e-01       5.967502393477e-01      -5.727430128253e-09      -4.900694485326e-12      -3.303643128515e-14                      nan      -6.092917168223e-09      -2.257151032006e-10 
       1.544729323969e-04      -3.776712009462e-03      -2.835351330821e-03      -2.835374380440e-03      -2.835374014181e-03       0.000000000000e+00      -3.776273359159e-03      -2.862645941571e-03       6.122729727932e-01       5.967408825328e-01      -8.459550765126e-09      -7.239221533922e-12      -4.880180468609e-14                      nan      -8.999226570010e-09      -3.333842535033e-10 
       1.692374446017e-04      -4.532203183817e-03      -3.403210936622e-03      -3.403244144467e-03      -3.403243616794e-03       0.000000000000e+00      -4.531571366592e-03      -3.435949086994e-03       6.122571461781e-01       5.967303093686e-01      -1.218593650356e-08      -1.042949822177e-11      -7.030923092307e-14                      nan      -1.296308068765e-08      -4.802344231465e-10 
       1.844601999509e-04      -5.382914038807e-03      -4.042912805817e-03      -4.042959671896e-03      -4.042958927185e-03       0.000000000000e+00      -5.382022583731e-03      -4.081773999972e-03       6.122393196253e-01       5.967183998540e-01      -1.719534691628e-08      -1.471892236426e-11      -9.922798316636e-14                      nan      -1.829155360837e-08      -6.776437776435e-10 
       2.001946119308e-04      -6.338690569443e-03      -4.761962920942e-03      -4.762027942035e-03      -4.762026908830e-03       0.000000000000e+00      -6.337454146261e-03      -4.807695051088e-03       6.122192839798e-01       5.967050132107e-01      -2.385217063730e-08      -2.042044339917e-11      -1.376679254683e-13                      nan      -2.537211609830e-08      -9.399702057888e-10 
       2.164984593225e-04      -7.410930071543e-03      -5.569062890633e-03      -5.569151823671e-03      -5.569150410499e-03       0.000000000000e+00      -7.409239512528e-03      -5.622492696122e-03       6.121967969230e-01       5.966899881286e-01      -3.261712397494e-08      -2.792975589105e-11      -1.882958622881e-13                      nan      -3.469463316608e-08      -1.285366614670e-09 
       2.334344144963e-04      -8.612815624605e-03      -6.474294766908e-03      -6.474414964723e-03      -6.474413054729e-03       0.000000000000e+00      -8.610531575109e-03      -6.536339774204e-03       6.121715790571e-01       5.966731371627e-01      -4.407403804659e-08      -3.774792769674e-11      -2.544930904813e-13                      nan      -4.687980819305e-08      -1.736835733791e-09 
       2.510706081659e-04      -9.959590635483e-03      -7.489338543030e-03      -7.489499393370e-03      -7.489496837367e-03       0.000000000000e+00      -9.956535392707e-03      -7.561020719957e-03       6.121433068140e-01       5.966542438586e-01      -5.896456804819e-08      -5.051397720481e-11      -3.405707843559e-13                      nan      -6.271607388827e-08      -2.323597936907e-09 
       2.694812277618e-04      -1.146887922861e-02      -8.627727587517e-03      -8.627941062046e-03      -8.627937669765e-03       0.000000000000e+00      -1.146482629811e-02      -8.710188940742e-03       6.121116044853e-01       5.966330549324e-01      -7.823336352335e-08      -6.703864635712e-11      -4.519989642753e-13                      nan      -8.320752264778e-08      -3.082868668720e-09 
       2.887471434300e-04      -1.316105873313e-02      -9.905147653266e-03      -9.905429032924e-03      -9.905424561479e-03       0.000000000000e+00      -1.315571932904e-02      -9.999668059880e-03       6.120760380317e-01       5.966092803000e-01      -1.030868355824e-07      -8.836099957361e-11      -5.957897251952e-13                      nan      -1.096363377508e-07      -4.062174116745e-09 
       3.089565513521e-04      -1.505969053555e-02      -1.133978571381e-02      -1.134015452731e-02      -1.134014866637e-02       0.000000000000e+00      -1.505269613191e-02      -1.144780325331e-02       6.120361019473e-01       5.965825820596e-01      -1.350698937198e-07      -1.158145270743e-10      -7.809308507621e-13                      nan      -1.436442582729e-07      -5.322372793287e-09 
       3.302056183397e-04      -1.719201543964e-02      -1.295273518302e-02      -1.295321640455e-02      -1.295320875713e-02       0.000000000000e+00      -1.718289522883e-02      -1.307586922806e-02       6.119912148355e-01       5.965525680545e-01      -1.761663620364e-07      -1.511078309020e-10      -1.018967145800e-12                      nan      -1.873390764444e-07      -6.941606950132e-09 
       3.525991041884e-04      -1.958951897909e-02      -1.476846382498e-02      -1.476908946862e-02      -1.476907952596e-02       0.000000000000e+00      -1.957767051551e-02      -1.490854119136e-02       6.119406966497e-01       5.965187844343e-01      -2.289301393756e-07      -1.964510577797e-10      -1.324791113256e-12                      nan      -2.434339027015e-07      -9.020469661865e-09 
       3.762509288441e-04      -2.228856958196e-02      -1.681535027681e-02      -1.681616143418e-02      -1.681614854315e-02       0.000000000000e+00      -2.227322076887e-02      -1.697443457012e-02       6.118837660240e-01       5.964807042094e-01      -2.966573802405e-07      -2.546920435982e-10      -1.717640246651e-12                      nan      -3.154295738243e-07      -1.168877673149e-08 
       4.012846398935e-04      -2.533113037947e-02      -1.912629345400e-02      -1.912734297657e-02      -1.912732629691e-02       0.000000000000e+00      -2.531128983262e-02      -1.930671776122e-02       6.118195135003e-01       5.964377168751e-01      -3.836114188576e-07      -3.295206411105e-10      -2.222446824080e-12                      nan      -4.078532974888e-07      -1.511442285406e-08 
       4.278337223492e-04      -2.876553899556e-02      -2.173939648030e-02      -2.174075251233e-02      -2.174073096085e-02       0.000000000000e+00      -2.873993148703e-02      -2.194379934239e-02       6.117468891874e-01       5.963891164052e-01      -4.953172876207e-07      -4.257346510866e-10      -2.871583516732e-12                      nan      -5.265705639717e-07      -1.951496876124e-08 
       4.560416776520e-04      -3.264734277988e-02      -2.469872272028e-02      -2.470047325560e-02      -2.470044543318e-02       0.000000000000e+00      -3.261432521257e-02      -2.493008698626e-02       6.116646807598e-01       5.963340858338e-01      -6.389459855330e-07      -5.495595826566e-10      -3.707139865347e-12                      nan      -6.791920758677e-07      -2.517275456442e-08 
       4.860617833901e-04      -3.704016621652e-02      -2.805511469297e-02      -2.805737363385e-02      -2.805733772990e-02       0.000000000000e+00      -3.699761803130e-02      -2.831680867717e-02       6.115714881571e-01       5.962716832991e-01      -8.238137747389e-07      -7.091222864631e-10      -4.783944115492e-12                      nan      -8.756024724444e-07      -3.245454614958e-08 
       5.180564314341e-04      -4.201657126824e-02      -3.186705850106e-02      -3.186997345810e-02      -3.186992712572e-02       0.000000000000e+00      -4.196175264780e-02      -3.216287802945e-02       6.114657093058e-01       5.962008267602e-01      -1.062029355618e-06      -9.149909278261e-10      -6.173453674691e-12                      nan      -1.128644173042e-06      -4.183696553528e-08 
       5.521959331310e-04      -4.765885548128e-02      -3.620156406919e-02      -3.620532653813e-02      -3.620526673152e-02       0.000000000000e+00      -4.758822361538e-02      -3.653577354675e-02       6.113455094262e-01       5.961202761232e-01      -1.369324752485e-06      -1.180920338164e-09      -7.968795025733e-12                      nan      -1.454995529871e-06      -5.393915127030e-08 
       5.886566802046e-04      -5.405970918915e-02      -4.113501770736e-02      -4.113987649341e-02      -4.113979925664e-02       0.000000000000e+00      -5.396868110804e-02      -4.151238748652e-02       6.112088022893e-01       5.960286210566e-01      -1.766114151469e-06      -1.524878856722e-09      -1.029123097706e-11                      nan      -1.876288839321e-06      -6.956437476335e-08 
       6.276185644258e-04      -6.132262808630e-02      -4.675394800619e-02      -4.676022628086e-02      -4.676012647440e-02       0.000000000000e+00      -6.120527801100e-02      -4.717978363716e-02       6.110532339751e-01       5.959242639647e-01      -2.278830191351e-06      -1.970155286107e-09      -1.329846784964e-11                      nan      -2.420517761084e-06      -8.975247627176e-08 
       6.692615935926e-04      -6.956195892604e-02      -5.315562884700e-02      -5.316374607083e-02      -5.316361702057e-02       0.000000000000e+00      -6.941063348795e-02      -5.363578708927e-02       6.108761679025e-01       5.958054125518e-01      -2.941583853574e-06      -2.546912188191e-09      -1.719498141900e-11                      nan      -3.123784666710e-06      -1.158450130976e-07 
       7.137617004578e-04      -7.890243564140e-02      -6.044842969648e-02      -6.045893004720e-02      -6.045876309655e-02       0.000000000000e+00      -7.870726903891e-02      -6.098931494985e-02       6.106746781107e-01       5.956700728887e-01      -3.798194497688e-06      -3.294195449638e-09      -2.224491984534e-11                      nan      -4.032433322928e-06      -1.495648855515e-07 
       7.612858262925e-04      -8.947805640758e-02      -6.875181848869e-02      -6.876540630723e-02      -6.876519025130e-02       0.000000000000e+00      -8.922636881861e-02      -6.936035081300e-02       6.104455577365e-01       5.955160519486e-01      -4.904625489842e-06      -4.262131515931e-09      -2.878783623403e-11                      nan      -5.205600103543e-06      -1.931117198066e-07 
       8.119864673565e-04      -1.014301687979e-01      -7.819592320960e-02      -7.821350687786e-02      -7.821322725662e-02       0.000000000000e+00      -1.011057303976e-01      -7.887946869196e-02       6.101853365422e-01       5.953409653788e-01      -6.331836672136e-06      -5.514519242643e-09      -3.725742515475e-11                      nan      -6.718191809671e-06      -2.492734214031e-07 
       8.659959883789e-04      -1.149046712088e-01      -8.892057746662e-02      -8.894332466730e-02      -8.894296289248e-02       0.000000000000e+00      -1.144868128706e-01      -8.968683242864e-02       6.098903161303e-01       5.951422605380e-01      -8.169029831193e-06      -7.132413385331e-09      -4.820375378339e-11                      nan      -8.664263189064e-06      -3.215530337124e-07 
       9.234211117495e-04      -1.300482936699e-01      -1.010738151755e-01      -1.011032191805e-01      -1.011027514735e-01       0.000000000000e+00      -1.295108574996e-01      -1.019306331190e-01       6.095566184139e-01       5.949172431010e-01      -1.052722946174e-05      -9.217502214498e-09      -6.231840614233e-11                      nan      -1.116071901523e-05      -4.143082304731e-07 
       9.843380585498e-04      -1.470040263463e-01      -1.148098257483e-01      -1.148477858150e-01      -1.148471819335e-01       0.000000000000e+00      -1.463141491574e-01      -1.157649803729e-01       6.091802557011e-01       5.946631217192e-01      -1.354307707945e-05      -1.189653449097e-08      -8.046261398302e-11                      nan      -1.435121159538e-05      -5.328988659349e-07 
       1.048788822721e-03      -1.659058521620e-01      -1.302864490995e-01      -1.303353631643e-01      -1.303345849006e-01       0.000000000000e+00      -1.650225961412e-01      -1.313473252477e-01       6.087572071381e-01       5.943770526455e-01      -1.738267806735e-05      -1.532494213008e-08      -1.036976950339e-10                      nan      -1.841004323470e-05      -6.838356660118e-07 
       1.116778987109e-03      -1.868730642447e-01      -1.476623421297e-01      -1.477252161146e-01      -1.477242155539e-01       0.000000000000e+00      -1.857459069784e-01      -1.488355557836e-01       6.082835121696e-01       5.940562004902e-01      -2.224527397620e-05      -1.969208172944e-08      -1.333170667164e-10                      nan      -2.354584002057e-05      -8.749216496062e-07 
       1.188277341859e-03      -2.100045044000e-01      -1.670940021898e-01      -1.671745762671e-01      -1.671732938015e-01       0.000000000000e+00      -2.085717264104e-01      -1.683849521055e-01       6.077553577841e-01       5.936977910980e-01      -2.836650025819e-05      -2.522647800470e-08      -1.708787278459e-10                      nan      -3.000472031521e-05      -1.115376265346e-06 
       1.263217364320e-03      -2.353730882489e-01      -1.887328878007e-01      -1.888357709098e-01      -1.888341428514e-01       0.000000000000e+00      -2.335600686373e-01      -1.901452453171e-01       6.071692696055e-01       5.932992519074e-01      -3.602101280546e-05      -3.219688733541e-08      -2.167164391000e-10                      nan      -3.807278262777e-05      -1.415932715183e-06 
       1.341500404014e-03      -2.630214843840e-01      -2.127234651946e-01      -2.128544553710e-01      -2.128527980608e-01       0.000000000000e+00      -2.607364956625e-01      -2.142590220921e-01       6.065254639107e-01       5.928611044897e-01      -4.552483340142e-05      -4.094285827996e-08      -2.129960157601e-10                      nan      -4.808094829524e-05      -1.788925848002e-06 
       1.423000230117e-03      -2.929572360170e-01      -2.391991459846e-01      -2.393650960820e-01      -2.393634110676e-01       0.000000000000e+00      -2.900940247880e-01      -2.408564746948e-01       6.058179068965e-01       5.923784769481e-01      -5.723397587819e-05      -5.181393352532e-08      -2.094372457111e-10                      nan      -6.039547222922e-05      -2.248236208686e-06 
       1.507568477514e-03      -3.251508670323e-01      -2.682822207934e-01      -2.684913588196e-01      -2.684896474417e-01       0.000000000000e+00      -3.215855204370e-01      -2.700564019300e-01       6.050441657191e-01       5.918493236978e-01      -7.154567390013e-05      -6.523369075494e-08      -2.060596999773e-10                      nan      -7.542534105430e-05      -2.809317290136e-06 
       1.595040487398e-03      -3.595342861758e-01      -3.000822925701e-01      -3.003444098550e-01      -3.003426732844e-01       0.000000000000e+00      -3.551240852625e-01      -3.019643026658e-01       6.042022930552e-01       5.912718762931e-01      -8.889585058068e-05      -8.168269352515e-08      -2.028734068401e-10                      nan      -9.361699614379e-05      -3.489092967670e-06 
       1.685241075052e-03      -3.960005903438e-01      -3.346957502144e-01      -3.350223868351e-01      -3.350206261026e-01       0.000000000000e+00      -3.905832154936e-01      -3.366718609497e-01       6.032908500032e-01       5.906446623404e-01      -1.097559019408e-04      -1.016962892615e-07      -1.998813326643e-10                      nan      -1.154502517247e-04      -4.305820514621e-06 
       1.777989849946e-03      -4.344050645977e-01      -3.722056931634e-01      -3.726103541853e-01      -3.726085702074e-01       0.000000000000e+00      -4.277981735630e-01      -3.742569311788e-01       6.023088939945e-01       5.899664962407e-01      -1.346282013185e-04      -1.258755374163e-07      -1.970812851146e-10                      nan      -1.414328586756e-04      -5.278905564408e-06 
       1.873105833493e-03      -4.745670700227e-01      -4.126823073747e-01      -4.131806609980e-01      -4.131788545969e-01       0.000000000000e+00      -4.665683914916e-01      -4.147839493181e-01       6.012559697588e-01       5.892364759097e-01      -1.640405479019e-04      -1.548794329296e-07      -1.944674563442e-10                      nan      -1.720939037197e-04      -6.428672005383e-06 
       1.970411241375e-03      -5.162727653913e-01      -4.561835206777e-01      -4.567935972973e-01      -4.567917692180e-01       0.000000000000e+00      -5.066607134921e-01      -4.583046550436e-01       6.001320930256e-01       5.884539768985e-01      -1.985396095520e-04      -1.894243332569e-07      -1.920316755322e-10                      nan      -2.079762081464e-04      -7.776094606024e-06 
       2.069734401352e-03      -5.592785112088e-01      -5.027557859464e-01      -5.034982299384e-01      -5.034963808620e-01       0.000000000000e+00      -5.478133069490e-01      -5.048589996583e-01       5.989377010934e-01       5.876186168524e-01      -2.386834950526e-04      -2.303034770280e-07      -1.897642043097e-10                      nan      -2.496278634810e-04      -9.342501614753e-06 
