# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       1.008985923385e-05      -1.613019975265e-05      -1.209770112159e-05      -1.209770154117e-05      -1.209770153450e-05       0.000000000000e+00      -1.613019175871e-05      -1.221456646258e-05       6.123516376473e-01       5.967934084587e-01      -1.540989540192e-13      -1.317791586569e-16      -8.880694300574e-19                      nan      -1.639456993283e-13      -6.073154469359e-15 
       2.251775554930e-05      -8.033631588395e-05      -6.025350963540e-05      -6.025352004352e-05      -6.025351987814e-05       0.000000000000e+00      -8.033611758749e-05      -6.083553170941e-05       6.123503427005e-01       5.967925633353e-01      -3.822557782925e-12      -3.269118031441e-15      -2.203457640470e-17                      nan      -4.066809549341e-12      -1.506498042116e-13 
       3.498636120606e-05      -1.939301657628e-04      -1.454550412153e-04      -1.454551018707e-04      -1.454551009069e-04       0.000000000000e+00      -1.939290101980e-04      -1.468599246257e-04       6.123479679711e-01       5.967909779384e-01      -2.227609461689e-11      -1.905135349767e-14      -1.284118653334e-16                      nan      -2.369941079207e-11      -8.779161989810e-13 
       4.752690065129e-05      -3.578547193170e-04      -2.684162961406e-04      -2.684165026929e-04      -2.684164994110e-04       0.000000000000e+00      -3.578507844079e-04      -2.710084129521e-04       6.123445342508e-01       5.967886820581e-01      -7.585565190165e-11      -6.487567453012e-14      -4.372772808911e-16                      nan      -8.070205205274e-11      -2.989518134712e-12 
       6.017107953816e-05      -5.735575197303e-04      -4.302330267672e-04      -4.302335574220e-04      -4.302335489903e-04       0.000000000000e+00      -5.735474110345e-04      -4.343869915290e-04       6.123400262776e-01       5.967856684514e-01      -1.948780802821e-10      -1.666706829949e-13      -1.123458654932e-15                      nan      -2.073275203890e-10      -7.680245851616e-12 
       7.295134796828e-05      -8.430144977614e-04      -6.324010656872e-04      -6.324022122506e-04      -6.324021940327e-04       0.000000000000e+00      -8.429926583253e-04      -6.385054716849e-04       6.123343891987e-01       5.967819048228e-01      -4.210386623498e-10      -3.601182014519e-13      -2.427401925157e-15                      nan      -4.479328874902e-10      -1.659330668647e-11 
       8.590117159567e-05      -1.168763684891e-03      -8.768422699911e-04      -8.768444742704e-04      -8.768444392467e-04       0.000000000000e+00      -1.168721702991e-03      -8.853036537138e-04       6.123275693776e-01       5.967773517989e-01      -8.093885460247e-10      -6.923320249238e-13      -4.666649825568e-15                      nan      -8.610819643149e-10      -3.189823444619e-11 
       9.905531396721e-05      -1.553949650712e-03      -1.165938737302e-03      -1.165942634737e-03      -1.165942572809e-03       0.000000000000e+00      -1.553875430065e-03      -1.177185843277e-03       6.123195104645e-01       5.967719690333e-01      -1.430997603525e-09      -1.224118204769e-12      -8.251623370877e-15                      nan      -1.522376285883e-09      -5.639580062201e-11 
       1.124501335013e-04      -2.002379687369e-03      -1.502576110970e-03      -1.502582583919e-03      -1.502582481067e-03       0.000000000000e+00      -2.002256436052e-03      -1.517064535413e-03       6.123101250510e-01       5.967657001748e-01      -2.376453850532e-09      -2.033024750515e-12      -1.370456353461e-14                      nan      -2.528176462633e-09      -9.365591092090e-11 
       1.261238985365e-04      -2.518593220207e-03      -1.890197153913e-03      -1.890207397355e-03      -1.890207234588e-03       0.000000000000e+00      -2.518398204603e-03      -1.908414454470e-03       6.122993210947e-01       5.967584818256e-01      -3.760408280680e-09      -3.217226506367e-12      -2.168787092549e-14                      nan      -4.000433482502e-09      -1.481966603691e-10 
       1.401171238971e-04      -3.107946118740e-03      -2.332866934411e-03      -2.332882537994e-03      -2.332882290056e-03       0.000000000000e+00      -3.107649112580e-03      -2.355338303614e-03       6.122869793029e-01       5.967502393475e-01      -5.727430128264e-09      -4.900694485837e-12      -3.303642901474e-14                      nan      -6.092917168240e-09      -2.257151031994e-10 
       1.544729323969e-04      -3.776712009462e-03      -2.835351330821e-03      -2.835374380440e-03      -2.835374014181e-03       0.000000000000e+00      -3.776273359159e-03      -2.862645941571e-03       6.122729727931e-01       5.967408825326e-01      -8.459550765142e-09      -7.239221534681e-12      -4.880180133221e-14                      nan      -8.999226570034e-09      -3.333842535015e-10 
       1.692374446017e-04      -4.532203183817e-03      -3.403210936622e-03      -3.403244144467e-03      -3.403243616794e-03       0.000000000000e+00      -4.531571366592e-03      -3.435949086994e-03       6.122571461780e-01       5.967303093684e-01      -1.218593650358e-08      -1.042949822286e-11      -7.030922609114e-14                      nan      -1.296308068768e-08      -4.802344231439e-10 
       1.844601999509e-04      -5.382914038807e-03      -4.042912805817e-03      -4.042959671896e-03      -4.042958927185e-03       0.000000000000e+00      -5.382022583731e-03      -4.081773999972e-03       6.122393196252e-01       5.967183998538e-01      -1.719534691631e-08      -1.471892236579e-11      -9.922797634702e-14                      nan      -1.829155360842e-08      -6.776437776398e-10 
       2.001946119308e-04      -6.338690569443e-03      -4.761962920942e-03      -4.762027942035e-03      -4.762026908830e-03       0.000000000000e+00      -6.337454146261e-03      -4.807695051088e-03       6.122192839796e-01       5.967050132105e-01      -2.385217063734e-08      -2.042044340130e-11      -1.376679160073e-13                      nan      -2.537211609836e-08      -9.399702057836e-10 
